,pos,count,total_len
19_14,19_14,8.0,5947.26962607
19_19,19_19,14.0,21349.7269072
19_18,19_18,34.0,50672.3956299
15_28,15_28,8.0,13527.7154654
15_29,15_29,8.0,13860.0733624
15_22,15_22,4.0,5751.68820382
15_23,15_23,4.0,6258.14451224
15_20,15_20,28.0,52828.7588172
15_21,15_21,28.0,30188.7621643
15_24,15_24,4.0,4754.90793917
15_25,15_25,4.0,1408.08766388
1_18,1_18,2.0,978.568008127
14_30,14_30,8.0,3125.90190535
14_31,14_31,8.0,12365.3565157
5_22,5_22,6.0,7178.2271397
5_23,5_23,6.0,8280.54045623
5_20,5_20,26.0,11225.4430271
5_21,5_21,4.0,7385.451506
5_26,5_26,8.0,12759.6565262
5_27,5_27,4.0,7447.50163796
5_24,5_24,6.0,4768.40038323
5_25,5_25,6.0,6985.7134395
5_28,5_28,10.0,9183.97617534
5_29,5_29,8.0,16699.4410156
4_25,4_25,12.0,21588.4277741
4_24,4_24,10.0,15163.3654401
4_27,4_27,4.0,3261.23928562
4_26,4_26,8.0,3815.28734113
4_21,4_21,4.0,5751.17782097
4_20,4_20,20.0,36932.3126668
4_23,4_23,4.0,6646.050613
4_22,4_22,4.0,4759.91857661
4_29,4_29,2.0,833.224716181
4_28,4_28,2.0,2739.38657873
16_22,16_22,24.0,32979.8760791
16_21,16_21,24.0,32697.1566222
16_27,16_27,8.0,18418.9968336
16_26,16_26,8.0,16456.9038898
16_25,16_25,8.0,7228.76441214
16_29,16_29,2.0,3155.59958542
16_28,16_28,8.0,3577.26799838
0_18,0_18,2.0,1564.1394826
0_19,0_19,2.0,1674.75577485
9_13,9_13,14.0,16404.1177324
9_12,9_12,18.0,25369.5531674
9_11,9_11,18.0,33052.7020936
9_10,9_10,10.0,16521.1185641
9_17,9_17,144.0,121251.96358
9_16,9_16,106.0,115519.206746
8_30,8_30,6.0,9495.91580085
8_31,8_31,4.0,4073.22635044
9_19,9_19,22.0,38419.6235947
9_18,9_18,54.0,104551.982831
3_31,3_31,14.0,8039.43915426
3_30,3_30,2.0,3392.09363599
11_28,11_28,4.0,6350.30338007
11_29,11_29,2.0,3187.04442826
11_26,11_26,6.0,2842.04487979
11_27,11_27,4.0,5177.17698336
11_24,11_24,8.0,8294.05864313
11_25,11_25,8.0,11679.1613907
11_22,11_22,4.0,9417.72252348
11_23,11_23,8.0,7853.5732861
11_20,11_20,6.0,3908.37592858
11_21,11_21,4.0,2430.13631084
2_18,2_18,10.0,17139.9180548
2_19,2_19,6.0,8686.76316293
2_17,2_17,8.0,4081.76425452
7_20,7_20,40.0,78086.1964997
7_21,7_21,14.0,13656.4316905
7_22,7_22,4.0,6118.92635043
7_23,7_23,10.0,12827.404753
7_24,7_24,8.0,9725.16820431
7_25,7_25,4.0,9024.2181306
7_26,7_26,2.0,3086.21672235
7_27,7_27,2.0,2479.31812702
7_28,7_28,2.0,3192.23612787
7_29,7_29,4.0,8826.36121853
6_29,6_29,4.0,1353.33814642
6_28,6_28,8.0,14788.343052
6_23,6_23,14.0,27780.2188414
6_22,6_22,10.0,11367.3009225
6_21,6_21,10.0,8200.86004826
6_20,6_20,28.0,53626.3459425
6_27,6_27,6.0,12191.7998964
6_26,6_26,10.0,12590.5190412
6_25,6_25,10.0,19522.4536351
6_24,6_24,12.0,27147.0811393
