,asian_pop,black_pop,hispanic_p,no_car_hh,poverty_po,white_pop,ave_hh_inc,edu_uni,edu_high,hh_incm_hi,hh,pop,age65,poverty_perc,pos,geometry,row,col,grid_area
24,16.584157752,13.3320879189,14.2434623797,15.6941204293,694.015170376,52.5053855383,72394.9332158,32.6767256425,4.66825150096,26.5536235292,1153.37375584,2541.75543834,19.9047821258,27.3045612457,3_25,"POLYGON ((-1653327.704565505 514097.5045573009, -1652327.704565505 514097.5045573009, -1652327.704565505 513097.5045573009, -1653327.704565505 513097.5045573009, -1653327.704565505 514097.5045573009))",3,25,1000000.0
25,12.1960427088,5.65444855197,11.8898516169,6.56035359675,275.379504533,67.7977275287,105047.769153,45.8210247281,6.79191393361,45.8717732881,1411.4139552,3154.09094071,10.6168231469,8.73086761636,3_24,"POLYGON ((-1653327.704565505 515097.5045573009, -1652327.704565505 515097.5045573009, -1652327.704565505 514097.5045573009, -1653327.704565505 514097.5045573009, -1653327.704565505 515097.5045573009))",3,24,1000000.0
26,10.4167,7.1429,3.497,11.4108,83.9047949043,75.4464,202455.0,62.8598,3.2498,80.4979,181.354758493,505.68629754,33.9286,16.5922619048,12_25,"POLYGON ((-1644327.704565505 514097.5045573009, -1643327.704565505 514097.5045573009, -1643327.704565505 513097.5045573009, -1644327.704565505 513097.5045573009, -1644327.704565505 514097.5045573009))",12,25,1000000.0
27,14.5122818453,13.3714451391,4.52291509986,4.53899169269,49.0393706805,64.2603788916,189642.569434,59.8374391865,4.44919029167,61.8857236829,222.860243403,554.407861038,24.1641745737,8.84535991043,12_24,"POLYGON ((-1644327.704565505 515097.5045573009, -1643327.704565505 515097.5045573009, -1643327.704565505 514097.5045573009, -1644327.704565505 514097.5045573009, -1644327.704565505 515097.5045573009))",12,24,1000000.0
28,10.4167,7.1429,3.497,11.4108,5.52847460563,75.4464,202455.0,62.8598,3.2498,80.4979,11.9494383853,33.3195958294,33.9286,16.5922619048,13_25,"POLYGON ((-1643327.704565505 514097.5045573009, -1642327.704565505 514097.5045573009, -1642327.704565505 513097.5045573009, -1643327.704565505 513097.5045573009, -1643327.704565505 514097.5045573009))",13,25,1000000.0
29,8.05477404644,2.17794316567,6.92986215091,3.10278171912,90.5982555852,78.9055232143,129282.179757,42.3245550256,1.45122606863,52.8436366369,1060.76026485,2438.07256542,12.7790566415,3.71597863289,2_25,"POLYGON ((-1654327.704565505 514097.5045573009, -1653327.704565505 514097.5045573009, -1653327.704565505 513097.5045573009, -1654327.704565505 513097.5045573009, -1654327.704565505 514097.5045573009))",2,25,1000000.0
30,49.6221475145,29.2028570078,8.30527914169,18.0334466137,1167.85950404,11.3781593682,80243.9957443,23.1890312724,29.550097595,29.3221278142,1467.47559883,4690.94887183,14.205403523,24.8960186084,10_25,"POLYGON ((-1646327.704565505 514097.5045573009, -1645327.704565505 514097.5045573009, -1645327.704565505 513097.5045573009, -1646327.704565505 513097.5045573009, -1646327.704565505 514097.5045573009))",10,25,1000000.0
31,33.2044329001,24.5202333579,10.4410616297,12.3711565262,491.277936021,30.1464735236,97999.0996049,29.9377092991,17.8935983005,32.8342553327,966.346161278,2702.54422047,16.63169817,18.1783495826,11_25,"POLYGON ((-1645327.704565505 514097.5045573009, -1644327.704565505 514097.5045573009, -1644327.704565505 513097.5045573009, -1645327.704565505 513097.5045573009, -1645327.704565505 514097.5045573009))",11,25,1000000.0
32,23.134913326,9.02459059405,26.7476927913,19.2117701515,995.482176588,43.0787805723,72256.6057028,30.3443658119,21.4636444372,22.8021892799,1424.34144911,3732.88867037,8.9692537669,26.6678774668,4_25,"POLYGON ((-1652327.704565505 514097.5045573009, -1651327.704565505 514097.5045573009, -1651327.704565505 513097.5045573009, -1652327.704565505 513097.5045573009, -1652327.704565505 514097.5045573009))",4,25,1000000.0
33,33.3886701757,25.4566895189,9.57229159365,9.27503665393,446.754782454,30.4108598108,86760.1466367,24.0252708578,20.9254332837,31.9152279419,1085.02088482,3096.4388644,15.2944718975,14.4280188312,11_24,"POLYGON ((-1645327.704565505 515097.5045573009, -1644327.704565505 515097.5045573009, -1644327.704565505 514097.5045573009, -1645327.704565505 514097.5045573009, -1645327.704565505 515097.5045573009))",11,24,1000000.0
