,pos,row,col,grid_area,geometry
39,4_24,4,24,1000000.0,"POLYGON ((-1652327.704565505 515097.5045573012, -1651327.704565505 515097.5045573007, -1651327.704565505 514097.5045573008, -1652327.704565505 514097.5045572991, -1652327.704565505 515097.5045573012))"
40,5_25,5,25,1000000.0,"POLYGON ((-1651327.704565505 514097.5045573008, -1650327.704565505 514097.5045572996, -1650327.704565504 513097.5045573004, -1651327.704565506 513097.5045573012, -1651327.704565505 514097.5045573008))"
41,10_24,10,24,1000000.0,"POLYGON ((-1646327.704565505 515097.5045573002, -1645327.704565506 515097.5045573009, -1645327.704565505 514097.5045573009, -1646327.704565505 514097.5045572999, -1646327.704565505 515097.5045573002))"
42,6_24,6,24,1000000.0,"POLYGON ((-1650327.704565504 515097.5045573011, -1649327.704565505 515097.5045572995, -1649327.704565505 514097.5045572995, -1650327.704565505 514097.5045572996, -1650327.704565504 515097.5045573011))"
43,7_24,7,24,1000000.0,"POLYGON ((-1649327.704565505 515097.5045572995, -1648327.704565506 515097.5045572985, -1648327.704565504 514097.5045573004, -1649327.704565505 514097.5045572995, -1649327.704565505 515097.5045572995))"
44,5_24,5,24,1000000.0,"POLYGON ((-1651327.704565505 515097.5045573007, -1650327.704565504 515097.5045573011, -1650327.704565505 514097.5045572996, -1651327.704565505 514097.5045573008, -1651327.704565505 515097.5045573007))"
45,9_24,9,24,1000000.0,"POLYGON ((-1647327.704565505 515097.5045573004, -1646327.704565505 515097.5045573002, -1646327.704565505 514097.5045572999, -1647327.704565504 514097.5045573004, -1647327.704565505 515097.5045573004))"
46,2_24,2,24,1000000.0,"POLYGON ((-1654327.704565505 515097.5045573009, -1653327.704565505 515097.5045572999, -1653327.704565505 514097.5045573008, -1654327.704565505 514097.5045573002, -1654327.704565505 515097.5045573009))"
47,6_25,6,25,1000000.0,"POLYGON ((-1650327.704565505 514097.5045572996, -1649327.704565505 514097.5045572995, -1649327.704565506 513097.5045573019, -1650327.704565504 513097.5045573004, -1650327.704565505 514097.5045572996))"
48,12_26,12,26,1000000.0,"POLYGON ((-1644327.704565505 513097.5045573003, -1643327.704565505 513097.5045573012, -1643327.704565505 512097.5045573, -1644327.704565505 512097.5045573001, -1644327.704565505 513097.5045573003))"
49,6_26,6,26,1000000.0,"POLYGON ((-1650327.704565504 513097.5045573004, -1649327.704565506 513097.5045573019, -1649327.704565505 512097.5045573, -1650327.704565505 512097.5045572991, -1650327.704565504 513097.5045573004))"
